股票代码,市场类型,行业链接
000909,sz,430101
000910,sz,360306
000911,sz,110504
000912,sz,220801
000913,sz,280402
000915,sz,370102
000917,sz,721001
000919,sz,370102
000920,sz,220505
000921,sz,330102
000922,sz,630101
000923,sz,230301
000925,sz,640501
000926,sz,430101
000927,sz,640501
000928,sz,620403
000929,sz,340601
000930,sz,110504
000931,sz,370102
000932,sz,230402
000933,sz,240301
000935,sz,490307
000936,sz,220401
000937,sz,740102
000938,sz,710301
000948,sz,710401
000949,sz,220403
000950,sz,370402
000951,sz,280601
000952,sz,370101
000953,sz,370101
000955,sz,350106
000957,sz,280602
000958,sz,490308
000959,sz,230402
000960,sz,240504
000962,sz,240504
000963,sz,370102
000965,sz,430101
000966,sz,410101
000967,sz,760201
000968,sz,750101
000969,sz,240201
000970,sz,240202
000972,sz,110501
000973,sz,220505
000975,sz,240401
000977,sz,710103
000978,sz,461003
000980,sz,280206
000981,sz,280203
000983,sz,740102
000985,sz,750303
000987,sz,490302
000988,sz,640703
000989,sz,370201
000990,sz,220205
000993,sz,410102
000995,sz,340501
000997,sz,710103
000998,sz,110101
000999,sz,370201
001201,sz,110702
001202,sz,420802
001203,sz,230301
001205,sz,421101
001206,sz,770101
001207,sz,220603
001208,sz,630805
001209,sz,350209
001210,sz,410104
001211,sz,360311
001212,sz,610303
001213,sz,420903
001215,sz,340406
001216,sz,360311
001217,sz,220204
001218,sz,220309
001219,sz,340802
001222,sz,360502
001223,sz,640704
001225,sz,640203
001226,sz,640602
001227,sz,480401
001228,sz,420805
001229,sz,710103
001230,sz,760103
001231,sz,220803
001234,sz,350208
001236,sz,490303
001238,sz,360502
001239,sz,640602
001255,sz,220504
001256,sz,640208
001258,sz,410107
001259,sz,330301
001260,sz,280202
001266,sz,640702
001267,sz,620307
001268,sz,330601
001269,sz,630504
001270,sz,650501
001277,sz,640203
001278,sz,280202
001279,sz,360202
001282,sz,280203
001283,sz,630701
001286,sz,410101
001287,sz,270401
001288,sz,640203
001289,sz,410107
001296,sz,220901
001298,sz,270401
001299,sz,410301
001300,sz,360502
001301,sz,630702
001306,sz,640108
001308,sz,270301
001309,sz,270104
001311,sz,280205
001313,sz,110403
001314,sz,270504
001316,sz,750302
001317,sz,420903
001318,sz,340702
001319,sz,280202
001322,sz,360309
001323,sz,360307
001324,sz,640501
001326,sz,330501
001328,sz,770102
001330,sz,720601
001331,sz,410301
001332,sz,640203
001333,sz,220504
001336,sz,760201
001337,sz,240401
001338,sz,110504
001339,sz,710103
001356,sz,360311
001358,sz,220309
001359,sz,220505
001360,sz,640203
001366,sz,110402
001367,sz,370101
001368,sz,360502
001373,sz,270303
001376,sz,410104
001378,sz,220505
001379,sz,640108
001380,sz,280203
001387,sz,330106
001389,sz,270202
001391,sz,420805
001395,sz,640209
001696,sz,640106
001872,sz,421102
001896,sz,410101
001914,sz,430301
001965,sz,420901
001979,sz,430102
002001,sz,220315
002003,sz,350105
002004,sz,370102
002005,sz,330301
002006,sz,640209
002007,sz,370303
002008,sz,640703
002009,sz,640209
002010,sz,420807
002011,sz,330601
002012,sz,360103
002014,sz,360204
002015,sz,410104
002016,sz,430101
002017,sz,730206
002019,sz,370102
002020,sz,370102
002021,sz,640206
002022,sz,370504
002023,sz,650201
002024,sz,450601
002025,sz,650501
002026,sz,640108
002027,sz,720502
002028,sz,630801
002029,sz,350209
002030,sz,370504
002031,sz,640209
002032,sz,330301
002033,sz,461003
002034,sz,760103
002035,sz,330401
002036,sz,270303
002037,sz,220307
002038,sz,370102
002039,sz,410102
002040,sz,421102
002041,sz,110101
002042,sz,350102
002043,sz,610303
002044,sz,370604
002045,sz,270503
002046,sz,640103
002047,sz,620201
002048,sz,280202
002049,sz,270104
002050,sz,330601
002051,sz,620403
002052,sz,330202
002053,sz,410107
002054,sz,220308
002055,sz,270504
002056,sz,630502
002057,sz,460802
002058,sz,640107
002059,sz,461002
002060,sz,410110
002061,sz,620306
002062,sz,620306
002063,sz,710401
002064,sz,220405
002065,sz,710301
002066,sz,610301
002067,sz,360102
002068,sz,220603
002069,sz,110202
002072,sz,450201
002073,sz,640209
002074,sz,630701
002075,sz,230501
002076,sz,330501
002077,sz,270107
002078,sz,360102
002079,sz,630702
002080,sz,610202
002081,sz,620201
002082,sz,370201
002083,sz,350102
002084,sz,360309
002085,sz,280204
002086,sz,370504
002088,sz,610301
002090,sz,630803
002091,sz,450201
002092,sz,220202
002093,sz,461101
002094,sz,770201
002095,sz,720704
002096,sz,220307
002097,sz,640601
002098,sz,350105
002099,sz,370101
002100,sz,110402
002101,sz,280205
002102,sz,370101
